Timestamp (s),Time Format (HH:MM:SS),Value
10842.000,03:00:42,4738.0
10844.000,03:00:44,47380
10846.000,03:00:46,47380
10848.000,03:00:48,
10850.000,03:00:50,
10852.000,03:00:52,
10854.000,03:00:54,
10856.000,03:00:56,47315
10858.000,03:00:58,47315
10860.000,03:01:00,47315
10862.000,03:01:02,47315
10864.000,03:01:04,47315
10866.000,03:01:06,47315
10868.000,03:01:08,47315
10870.000,03:01:10,47315
10872.000,03:01:12,47310
10874.000,03:01:14,47310
10876.000,03:01:16,47315
10878.000,03:01:18,47315
10880.000,03:01:20,47315
10882.000,03:01:22,47315
10886.000,03:01:26,
10884.000,03:01:24,47315
10888.000,03:01:28,
10890.000,03:01:30,
10892.000,03:01:32,
10894.000,03:01:34,
10896.000,03:01:36,
10898.000,03:01:38,
10900.000,03:01:40,
10902.000,03:01:42,
10904.000,03:01:44,
10906.000,03:01:46,
10908.000,03:01:48,
10910.000,03:01:50,
10912.000,03:01:52,
10914.000,03:01:54,
10916.000,03:01:56,4737.0
10918.000,03:01:58,47310
10920.000,03:02:00,47310
10922.000,03:02:02,47310
10924.000,03:02:04,47310
10926.000,03:02:06,47310
10928.000,03:02:08,47365
10930.000,03:02:10,47365
10932.000,03:02:12,47365
10934.000,03:02:14,47365
10936.000,03:02:16,47365
10938.000,03:02:18,47365
10940.000,03:02:20,47365
10942.000,03:02:22,47365
10944.000,03:02:24,47365
10946.000,03:02:26,47365
10948.000,03:02:28,4736.5
10950.000,03:02:30,4736.5
10952.000,03:02:32,4736.5
10954.000,03:02:34,4736.5
10956.000,03:02:36,4736.5
10958.000,03:02:38,4736.0
10960.000,03:02:40,4736.0
10962.000,03:02:42,4736.0
10964.000,03:02:44,4736.0
10966.000,03:02:46,4736.0
10968.000,03:02:48,4736.0
10970.000,03:02:50,4736.0
10972.000,03:02:52,4736.0
10974.000,03:02:54,4736.0
10976.000,03:02:56,4736.0
10978.000,03:02:58,4736.0
10980.000,03:03:00,4736.0
10982.000,03:03:02,4736.0
10984.000,03:03:04,4736.0
10986.000,03:03:06,4736.0
10988.000,03:03:08,4736.0
10990.000,03:03:10,47355
10992.000,03:03:12,4736.0
10994.000,03:03:14,4736.0
10996.000,03:03:16,4736.0
10998.000,03:03:18,4736.0
11000.000,03:03:20,47355
11002.000,03:03:22,47355
11004.000,03:03:24,47355
11006.000,03:03:26,
11008.000,03:03:28,47355
11010.000,03:03:30,47355
11012.000,03:03:32,47355
11014.000,03:03:34,47355
